,Song,Artist,Album,artist_trunc,search_term,lyrics_raw
77,PILLOWTALK,ZAYN,Mind of Mine,ZAYN,PILLOWTALK ZAYN,"[Verse 1]
Climb on board
We'll go slow and high tempo
Light and dark
Hold me hard and mellow

[Pre-Chorus]
I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you
I love to hold you close, tonight and always
I love to wake up next to you

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone

[Verse 2]
Pillow talk
My enemy, my ally
Prisoners
Then we're free, it's a thin line

[Pre-Chorus]
I'm seeing the pain, seeing the pleasure
Nobody but you, 'body but me
'Body but us, bodies together
I love to hold you close, tonight and always
I love to wake up next to you

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone

[Bridge]
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone
Paradise, paradise, paradise, paradise
War zone, war zone, war zone, war zone

[Chorus]
So we'll piss off the neighbours
In the place that feels the tears
The place to lose your fears
Yeah, reckless behavior
A place that is so pure, so dirty and raw
In the bed all day, bed all day, bed all day
Fucking and fighting on
It's our paradise and it's our war zone
It's our paradise and it's our war zone"
78,Roses,The Chainsmokers featuring Rozes,Bouquet,The Chainsmokers,Roses The Chainsmokers,"[Verse]
Takin' it slow, but it's not typical
He already knows that my love is fire
His heart was a stone, but then his hands roam
I turned him to gold and took him higher

[Pre-Chorus]
Well, I'll be your daydream, I'll be your favorite things
We could be beautiful
Get drunk on the good life, I'll take you to paradise
Say you'll never let me go

[Chorus]
Deep in my bones, I can feel you
Take me back to a time only we knew
Hideaway
We could waste the night with an old film
Smoke a little weed on my couch in the back room
Hideaway
Say you'll never let me go
Say you'll never let me go

[Post-Chorus]
Ahh, ahh, ahh
Ahh, ahh, ahh
Ahh, ahh, ahh
Say you'll never let me go
Say you'll never let me go
Say you'll never let me go
Ahh
Ahh
Say you'll never let me go

[Chorus]
Deep in my bones, I can feel you
Take me back to a time only we knew
Hideaway
We could waste the night with an old film
Smoke a little weed on my couch in the back room
Hideaway
Say you'll never let me go
Say you'll never let me go

[Outro]
Ahh, ahh, ahh
Ahh, ahh, ahh
Ahh, ahh, ahh
Say you'll never let me go
Ahh
Say you'll never let me go
Ahh"
79,I Feel It Coming,The Weeknd featuring Daft Punk,Starboy,The Weeknd,I Feel It Coming The Weeknd,"[Intro: The Weeknd]
Yeah, uh

[Verse 1: The Weeknd]
Tell me what you really like
Baby, I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs

[Pre-Chorus: The Weeknd]
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Verse 2: The Weeknd]
You are not the single type
So baby, this the perfect time
I'm just tryna get you high (I'm just tryna, babe)
And faded off this touch
You don't need a lonely night
So baby, I can make it right
You just got to let me try
To give you what you want

[Pre-Chorus: The Weeknd]
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd & Daft Punk]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Pre-Chorus: The Weeknd]
Hey! You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd + Daft Punk]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you feel right now
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Outro: Daft Punk]
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe"
80,Believer,Imagine Dragons,Evolve,Imagine Dragons,Believer Imagine Dragons,"[Verse 1]
First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second things second
Don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

[Pre-Chorus]
I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That look to me, took to me, shook to me, feeling me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...

[Chorus]
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer

[Verse 2]
Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

[Pre-Chorus 2]
I was choking in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke open and rained down
And rained down, like...

[Chorus]
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer

[Bridge]
Last things last
By the grace of the fire and the flame
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbing and flowing
Inhibited, limited
Till it broke open and rained down
And rained down, like...

[Chorus]
Pain!
You made me a, you made me a believer, believer
Pain!
You break me down and build me up, believer, believer
Pain!
Oh let the bullets fly, oh let them rain
My life, my love, my drive, it came from...
Pain!
You made me a, you made me a believer, believer"
81,Sugar,Robin Schulz featuring Francesco Yates,Sugar,Robin Schulz,Sugar Robin Schulz,"[Intro]
Oh, oh, oh
Oh, baby!
Oh, oh, hey

[Verse 1]
Ah, she got cherry lips, angel eyes
She knows exactly how to tantalize
She's out to get you, danger by design
Cold-blooded vixen, she don't compromise

[Pre-Chorus]
She's somethin' mystical in colored lights
So far from typical, but take my advice
Before you play with fire, do think twice
And if you get burned, don't be surprised

[Chorus]
Got me lifted, drifted higher than the ceilin'
Oh, baby, it's the ultimate feelin'
You got me lifted, feelin' so gifted
Sugar, how you get so fly?

[Hook]
Sugar, how you get so fly?
Oh, sugar, how you get so fly?
Oh, sugar, sugar, how you get so fly?
Oh, sugar, how you get so fly?

[Verse 2]
Oh, Sweet-talkin' lady, love how you entice
Sugar with just the right amount of spice
Charmin', allurin', everyone's desire
She's out to get you – you can't run, you can't hide

[Pre-Chorus]
She's somethin' mystical in colored lights
I say, so far from typical, but take my advice
Before you play with fire, do think twice
And if you get burned, oh, baby, don't you be surprised

[Chorus]
Got me lifted, drifted higher than the ceilin'
Oh, baby, it's the ultimate feelin'
You got me lifted, feelin' so gifted
Sugar how you get so fly?

[Bridge]
So fly, oh, hey
Oh, babe
Yeah, hey

[Hook]
Sugar, how you get so fly?
Oh, sugar, how you get so fly?
So, sugar, sugar, how you get so fly?
But you won't get me tonight

[Chorus]
Got me lifted, drifted higher than the ceilin'
Oh, baby, it's the ultimate feelin' (I couldn't feel)
You got me lifted, feelin' so gifted
Sugar, how you get so fly?

[Hook]
Sugar, how you get so fly? (oh, so fly, oh, so fly)
Oh, sugar, how you get so fly? (oh, so fly, oh, so fly)
So, sugar, sugar, how you get so fly? (oh, so fly, oh, so fly)
Oh, sugar, how you get so fly? (hey!)"
82,Starving,Hailee Steinfield and Grey featuring Zedd,Haiz,Hailee Steinfield,Starving Hailee Steinfield,"[Verse 1]
You know just what to say, things that scare me
I should just walk away, but I can't move my feet
The more that I know you, the more that I want to
Something inside me's changed
I was so much younger yesterday

[Chorus]
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you

[Post-Chorus]
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you

[Verse 2]
You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head on, got me weak in my knees
Yeah, something inside me's changed
I was so much younger yesterday
So much younger yesterday

[Chorus]
I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you

[Breakdown]
By the way, right away, you do things to my body
I didn't know that I was starving till I tasted you
You you, yeah till I tasted you
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you
I didn't know till I tasted you

[Outro]
The more that I know you, the more that I want to
Something inside me's changed
I was so much younger yesterday"
83,Me Rehuso,Danny Ocean,Non-album single,Danny Ocean,Me Rehuso Danny Ocean,"Letra de ""Me Rehúso""
[Intro]
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Para todos aquellos amores que, que fueron obligados a ser separados
Ba-Ba-Babylon girl, Ba-Ba-Babylon girl
Esta canción es para ti

[Verso 1]
Dime cómo le explico a mi destino que ya no estás ahí
Dime cómo haré para desprenderme de este frenesí
Esta locura que siento por ti
Con esta química que haces en mí
Y ya no puedo, girl, ya no puedo, girl

[Pre-Coro]
Nena discúlpame si te ilusioné yo no lo quise hacer
Sé que en el amor cuando es real ese vuelve, vuelve (vuelve, vuelve)
Pero cómo olvidar tu piel y cómo olvidarte mujer
Ya no puedo, girl, ya no puedo, girl

[Coro]
Baby, no (baby, no)
Me rehúso a darte un último beso así que guárdalo (guárdalo)
Para que la próxima vez te lo dé haciéndolo (haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby

[Verso 2]
Sin mirar atrás, sin buscar a nadie más
Sólo quiero estar contigo, wouh
Si no te tengo aquí conmigo yo no quiero ser tu amigo
Porque tú eres mi camino, wouh
Y yo sólo quiero estar junto a ti
Nena, por favor entiéndelo
Sólo dame tu mano y confía en mí
Si te pierdes sólo sigue mi voz
Y dale tiempo (tiempo), mami, al tiempo (tiempo)
Que tú, que yo, estamos hechos para estar los dos
Y dale tiempo (tiempo), baby, al tiempo (tiempo)
Que tú y yo, que tú y yo
Estamos hechos para estar los dos

[Coro]
Baby, no (baby, no)
Me rehúso a darte un último beso así que guárdalo (guárdalo)
Para que la próxima vez te lo dé haciéndolo (haciéndolo)
Haciéndotelo así, así, así
Así como te gusta, baby
Baby, no
Me rehúso a darte un último beso así que guárdalo (guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta, baby

[Bridge]
Así, así, así como te gusta, baby

[Coro]
Baby no
Baby, no (baby, no)
Me rehúso a darte un último beso así que guárdalo (guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así, así
Así como te gusta baby
Y baby, no (baby, no)
Me rehúso a darte un último beso así que guárdalo (guárdalo)
Para que la próxima vez te lo dé haciéndolo
Haciéndotelo así, así
Así como te gusta baby"
84,Stay,Zedd and Alessia Cara,Non-album single,Zedd and,Stay Zedd and,"I know that we are upside down
So hold your tongue and hear me out
I know that we were made to break so what? I don't mind
You kill the lights, I'll draw the blinds
Don't dull the sparkle in your eyes
I know that we were made to break so what? I don't mind
Are you gonna stay the night
Are you gonna stay the night
Oh oh oh oh, are you gonna stay the night
Are you gonna stay the night
Doesn't mean we're bound for life
So oh oh oh, are you gonna stay the night
Are you gonna stay the night
Doesn't mean we're bound for life
So oh oh oh, are you gonna stay the night
I am fire gasoline
Come pour yourself all over me
We'll let this place go down in flames only one more time
You kill the lights, I'll draw the blinds
Don't dull the sparkle in your eyes
I know that we were made to break
So what? I don't mind
Are you gonna stay the night
Are you gonna stay the night
Oh oh oh oh, are you gonna stay the night
Are you gonna stay the night
Doesn't mean we're bound for life
So oh oh oh, are you gonna stay the night (Night)
Are you gonna stay the night
Are you gonna stay the night
Doesn't mean we're bound for life
So oh oh oh, are you gonna stay the night
(Are you gonna stay the night)
(Are you gonna stay the night)
(Oh oh oh oh, are you gonna stay the night)"
85,Trap Queen,Fetty Wap,Fetty Wap,Fetty Wap,Trap Queen Fetty Wap,"[Intro]
RGF productions
Remy Boyz, yeaahhhh
1738

[Bridge]
I'm like ""Hey, what's up? Hello""
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her, how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans, though
In love with the money, I ain't never lettin' go

[Chorus]
And I get high with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies

[Verse 1]
I'm like, ""Hey, what's up? Hello""
I hit the strip with my trap queen, 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I might just snatch her a necklace, drop a couple on a ring
She ain't wantin' for nothin' because I got her everything
It's big ZooWap from the bando
Remind me where I can't go
Remy Boyz got the stamp though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap, I'm livin' fifty thousand K how I stand though
If you checkin' for my pockets I'm like…

[Chorus]
And I get high with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies

[Bridge]
I'm like, ""Hey, what's up? Hello""
Seen yo pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a 100 grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans though
In love with the money, I ain't never lettin' go

[Verse 2]
I be smokin' dope and you know Backwoods what I roll
Remy Boyz, Fetty eatin' shit up, that's fasho
I'll run in ya house, then I'll fuck your ho
'Cause Remy Boyz or nothin'
Re-Re-Remy Boyz or nothin'

[Outro: Nitt Da Gritt (Fetty Wap)]
(She my trap queen)
Yeah, you hear my boy
(She my trap queen)
Soundin' like a zillion bucks on the track
(She my trap queen)
I got whatever on my boy, whatever
(And I get high with my baby)
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, RGF Productions
(ZooWap)"
86,Mask Off,Future,Future,Future,Mask Off Future,"[Intro]
Call it how it is
Hendrix
I promise, I swear, I swear
You heard, spit it, yo

[Chorus]
Percocets, molly, Percocets
Percocets, molly, Percocets
Rep the set, gotta rep the set
Chase a check, never chase a bitch
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Percocets, molly, Percocets
Chase a check, never chase a bitch
Don't chase no bitches

[Verse 1]
Two cups, toast up with the gang
From food stamps to a whole 'nother domain
Out the bottom, I'm the livin' proof (Super)
Ain't compromising, half a million on the coupe
Drug houses, lookin' like Peru
Graduated, I was overdue
Pink molly, I can barely move
Ask about me, I'm gon' bust a move
Rick James, thirty-three chains
Ocean air, cruisin' Biscayne
Top off, that’s a liability
Hit the gas, boostin' my adrenaline

[Chorus]
Percocets, molly, Percocets
Percocets, molly, Percocets
Rep the set, gotta rep the set
Chase a check, never chase a bitch
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Percocets, molly, Percocets
Chase a check, never chase a bitch
Don't chase no bitches

[Verse 2]
Four-door Maybach, I drive anything
Buy my Range, make 'em go insane
(Oh my Lord, praise him be)
My guillotine, drank promethazine
TEC and beams, go to those extremes
Parliament, calamari Wednesday
Parlay in Vegas, we was in attendance
Before the business, Theodore lenses
Theo-Dur prescriptions, focus on the missions
Intermission, never take a break
Switch states, touch down, foreign plates
Ain't no way, ain't no fuckin' way
We call the play, we didn't come to play
Rob the bank, we gon' rob the game
They gang, we gang
But they are not the same (Freebandz)

[Chorus]
Percocets, molly, Percocets
Percocets, molly, Percocets
Rep the set, gotta rep the set
Chase a check, never chase a bitch
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Percocets, molly, Percocets
Chase a check, never chase a bitch
Don't chase no bitches

[Outro]
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Gas gone, never nod off
(Cold chills, prison cells)
(Oh my Lord, praise him be)"
87,Paris,The Chainsmokers,Memories...Do Not Open,The Chainsmokers,Paris The Chainsmokers,"[Verse 1: Andrew Taggart]
We were staying in Paris
To get away from your parents
And I thought, “Wow
If I could take this in a shot right now
I don't think that we could work this out”
Out on the terrace
I don't know if it's fair but I thought “How
Could I let you fall by yourself
While I'm wasted with someone else?”

[Chorus: Andrew Taggart & Emily Warren]
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better
Let's show them we are better
Let's show them we are better

[Verse 2: Andrew Taggart]
We were staying in Paris
To get away from your parents
You look so proud
Standing there with a frown and a cigarette
Posting pictures of yourself on the Internet
Out on the terrace
We breathe in the air of this small town
On our own, cuttin' class for the thrill of it
Getting drunk on the past, we were livin' in

[Chorus: Andrew Taggart & Emily Warren]
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better

[Post-Chorus: Emily Warren & Andrew Taggart]
Let's show them we are
Show them we are
Let's show them we are
Show them we are
Let's show them we are better
We were staying in Paris
Let's show them we are better
Let's show them we are
Show them we are
Let's show them we are
Show them we are
Let's show them we are better

[Chorus: Andrew Taggart & Emily Warren]
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better

[Bridge: Andrew Taggart & Emily Warren]
We were staying in Paris (If we go down)
We were staying in Paris (If we go down)
We were staying in Paris (If we go down)
We were staying in Paris (If we go down)
Let's show them we are better
We were staying in Paris

[Outro: Andrew Taggart & Emily Warren]
Let's show them we are better
Let's show them we are better
If we go down
Let's show them we are better
If we go down
Let's show them we are better
If we go down
Let's show them we are better
Let's show them we are better"
88,Riptide,Vance Joy,Dream Your Life Away,Vance Joy,Riptide Vance Joy,"[Verse 1]
I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dreams

Oh, and they come unstuck

[Chorus]
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat cause
You're gonna sing the words wrong

[Verse 2]
There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's running from himself
And she's been living on the highest shelf

Oh, and they come unstuck

[Chorus]
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat cause
You're gonna sing the words wrong

[Bridge]
I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

[Chorus]
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat cause
You're gonna sing the words wrong
I got a lump in my throat cause you're gonna sing the words wrong"
89,Wake Me Up,Avicii,True,Avicii,Wake Me Up Avicii,"[Official Music Video]
[Aloe Blacc Music Video]

[Verse 1: Aloe Blacc]
Feeling my way through the darkness
Guided by a beating heart
I can't tell where the journey will end
But I know where to start
They tell me I'm too young to understand
They say I'm caught up in a dream
Well life will pass me by if I don't open up my eyes
Well that's fine by me

[Chorus: Aloe Blacc]
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know﻿ I was lost
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know ﻿I was lost

[Beat Break]

[Verse 2:Aloe Blacc]
I tried carrying the weight of the world
But I only have two hands
I hope I get the chance to travel the world
But I don't have any plans
I wish that I could stay forever this young
Not afraid to close my eyes
Life's a game﻿ made for everyone
And love is the prize

[Chorus:Aloe Blacc]
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know﻿ I was lost
So wake me up when it's all over
When I'm wiser and I'm older
All this time I was finding myself
And I didn't know I was lost

[Outro: Aloe Blacc]
I didn't know I was lost
I didn't know I was lost
I didn't know I was lost
I didn't know I was lost

[Beat Break]"
90,24K Magic,Bruno Mars,24K Magic,Bruno Mars,24K Magic Bruno Mars,"[Intro]
Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

[Chorus]
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 1]
Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues

[Pre-Chorus]
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 2]
Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me

[Pre-Chorus]
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Bridge]
(Wooh)
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling

[Chorus]
Just put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
24 karat magic in the air
Head to toe so player
(24 karat)
Uh, look out

[Outro]
(24 karat magic, magic, magic)"
91,Needed Me,Rihanna,ANTI,Rihanna,Needed Me Rihanna,"[Intro: YG]
Mustard on the beat ho!

[Verse 1]
I was good on my own
That's the way it was
That's the way it was
You was good on the low
For a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Oooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooo, you needed me

[Verse 2]
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I give it to ya

[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Oooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooo, you needed me"
92,Firestone,Kygo featuring Conrad Sewell,Cloud Nine,Kygo featuring,Firestone Kygo featuring,"[Verse 1: Conrad Sewell]
I'm a flame, you're a fire
I'm the dark in need of light
When we touch, you inspire
Feel it changin' me tonight
Take me up, take me higher
There's a world not far from here
We can dance in desire
Or we can burn in love tonight

[Chorus: Conrad Sewell]
Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world

[Chorus: Conrad Sewell]
Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world
We light up the world

[Drop 1: Conrad Sewell]
We light up the world
Whoa, oh
World
Whoa, oh
Firestone

[Verse 2: Conrad Sewell]
I'm from X
You're from Y
Perfect strangers in the night
Here we are, come together
To the world we'll testify

[Chorus: Conrad Sewell]
Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world

[Chorus: Conrad Sewell]
Our hearts are like firestones
And when they strike, we feel the love
Sparks will fly, they ignite our bones
And when they strike, we light up the world

[Drop 2: Conrad Sewell]
We light up the world
We light up the word
Whoa, oh
World
Whoa, oh
Firestone"
